lemma,length,suffix_2,suffix_3,suffix_4,prefix_2,prefix_3,prefix_4,projection_x,projection_y,article
televisie,9,ie,sie,isie,te,tel,tele,14.721248,12.794532,de
punt,4,nt,unt,punt,pu,pun,punt,11.284548,8.914413,both
stoel,5,el,oel,toel,st,sto,stoe,7.5140977,6.7360473,de
spel,4,el,pel,spel,sp,spe,spel,6.7094903,10.0961895,both
examens,7,ns,ens,mens,ex,exa,exam,7.190814,11.144583,de
toeval,6,al,val,eval,to,toe,toev,11.839949,10.143212,het
schema,6,ma,ema,hema,sc,sch,sche,13.616756,7.313111,both
netwerkversie,13,ie,sie,rsie,ne,net,netw,8.057172,10.085912,de
auditie,7,ie,tie,itie,au,aud,audi,9.991264,12.060686,de
examen,6,en,men,amen,ex,exa,exam,7.175913,11.147307,both
producent,9,nt,ent,cent,pr,pro,prod,8.838157,11.150297,de
geld,4,ld,eld,geld,ge,gel,geld,8.337502,13.217604,het
loop,4,op,oop,loop,lo,loo,loop,10.267706,7.7261047,both
geschiedenis,12,is,nis,enis,ge,ges,gesc,14.157603,10.490569,both
programma,9,ma,mma,amma,pr,pro,prog,9.555485,10.774079,both
hoofdprijs,10,js,ijs,rijs,ho,hoo,hoof,8.325546,12.805789,de
gastheer,8,er,eer,heer,ga,gas,gast,13.058581,11.469266,both
looptijd,8,jd,ijd,tijd,lo,loo,loop,15.06687,10.484974,de
frequentie,10,ie,tie,ntie,fr,fre,freq,10.603846,10.1195345,de
helft,5,ft,lft,elft,he,hel,helf,10.924284,8.976213,de
run,3,un,run,run,ru,run,run,6.4095287,9.562765,de
circuit,7,it,uit,cuit,ci,cir,circ,4.3659387,10.972687,het
opdracht,8,ht,cht,acht,op,opd,opdr,10.701546,11.262442,both
studio,6,io,dio,udio,st,stu,stud,9.35072,10.393657,de
genre,5,re,nre,enre,ge,gen,genr,12.379033,10.917347,both
spelshow,8,ow,how,show,sp,spe,spel,11.908517,7.576256,de
formaat,7,at,aat,maat,fo,for,form,11.182635,9.417522,het
website,7,te,ite,site,we,web,webs,12.703271,13.293287,de
annulering,10,ng,ing,ring,an,ann,annu,10.597974,9.35748,de
resultaat,9,at,aat,taat,re,res,resu,10.147489,10.039914,both
vraag,5,ag,aag,raag,vr,vra,vraa,11.580238,10.915631,de
vriend,6,nd,end,iend,vr,vri,vrie,12.703987,10.374625,both
percentage,10,ge,age,tage,pe,per,perc,10.385763,9.717985,het
aanmeldbonus,12,us,nus,onus,aa,aan,aanm,8.840374,13.147277,de
kans,4,ns,ans,kans,ka,kan,kans,11.956373,9.884044,de
deelnemer,9,er,mer,emer,de,dee,deel,11.149365,11.007472,de
schermtest,10,st,est,test,sc,sch,sche,13.950423,12.622976,de
lobby,5,by,bby,obby,lo,lob,lobb,7.94976,7.6200933,de
hotel,5,el,tel,otel,ho,hot,hote,6.926345,6.9919252,both
dollarbedrag,12,ag,rag,drag,do,dol,doll,8.280061,13.269857,de
keuze,5,ze,uze,euze,ke,keu,keuz,11.485124,14.2403345,de
NAIwebsite,10,te,ite,site,na,nai,naiw,13.497038,7.608544,de
